code,number_occurrences,root,description
أفتأتون,1,أتي,"""Non traduit pour le moment"""
فليأتنا,1,أتي,"""Non traduit pour le moment"""
ءاتوا,1,أتي,"""Non traduit pour le moment"""
يؤتوا,1,أتي,"""Non traduit pour le moment"""
يأتونك,1,أتي,"""Non traduit pour le moment"""
فسيأتيهم,1,أتي,"""Non traduit pour le moment"""
فأتيا,1,أتي,"""Non traduit pour le moment"""
فيأتيهم,1,أتي,"""Non traduit pour le moment"""
سءاتيكم,1,أتي,"""Non traduit pour le moment"""
ليأتينى,1,أتي,"""Non traduit pour le moment"""
وأوتيت,1,أتي,"""Non traduit pour le moment"""
ءاتىن,1,أتي,"""Non traduit pour le moment"""
فلنأتينهم,1,أتي,"""Non traduit pour le moment"""
يأتونى,1,أتي,"""Non traduit pour le moment"""
أتوه,1,أتي,"""Non traduit pour le moment"""
ءاتىك,1,أتي,"""Non traduit pour le moment"""
وتأتون,1,أتي,"""Non traduit pour le moment"""
وليأتينهم,1,أتي,"""Non traduit pour le moment"""
فءات,1,أتي,"""Non traduit pour le moment"""
لءاتينا,1,أتي,"""Non traduit pour le moment"""
لءاتوها,1,أتي,"""Non traduit pour le moment"""
نؤتها,1,أتي,"""Non traduit pour le moment"""
وءاتين,1,أتي,"""Non traduit pour le moment"""
ءاتيتهن,1,أتي,"""Non traduit pour le moment"""
ءاتهم,1,أتي,"""Non traduit pour le moment"""
لتأتينكم,1,أتي,"""Non traduit pour le moment"""
تأتوننا,1,أتي,"""Non traduit pour le moment"""
وءاتينهما,1,أتي,"""Non traduit pour le moment"""
ائتيا,1,أتي,"""Non traduit pour le moment"""
وءاتىهم,1,أتي,"""Non traduit pour le moment"""
فسيؤتيه,1,أتي,"""Non traduit pour le moment"""
أتت,1,أتي,"""Non traduit pour le moment"""
فليأت,1,أتي,"""Non traduit pour le moment"""
فءاتينا,1,أتي,Alors nous avons attribué à
فءاتوا,1,أتي,apportez donc à
ءاتىها,1,أتي,Il leur a attribué.
أوت,1,أتي,j'avais reçu
أتىنا,1,أتي,nous soit apporté
فتأتون,1,أتي,vous serez apportés par
ويؤتوا,1,أتي,et qu'ils donnent
أثثا,2,أثث,"""Non traduit pour le moment"""
ءاثرهم,6,أثر,leurs traces
أثر,2,أثر,"""Non traduit pour le moment"""
وءاثارا,2,أثر,"""Non traduit pour le moment"""
ءاثرك,1,أثر,"""Non traduit pour le moment"""
ءاثارهما,1,أثر,"""Non traduit pour le moment"""
نؤثرك,1,أثر,"""Non traduit pour le moment"""
أثرى,1,أثر,"""Non traduit pour le moment"""
ءاثر,1,أثر,"""Non traduit pour le moment"""
وءاثرهم,1,أثر,ainsi que leurs traces.
أثرة,1,أثر,un quelconque vestige
ويؤثرون,1,أثر,et préfèrent
يؤثر,1,أثر,"influencée."""
وءاثر,1,أثر,et privilégiait
تؤثرون,1,أثر,vous vous focalisez sur
فأثرن,1,أثر,Et soulevant
وأثل,1,أثل,"""Non traduit pour le moment"""
الإثم,8,أثم,péché
إثما,7,أثم,"un méfait,"
إثم,6,أثم,péché
بالإثم,5,أثم,par le péché
أثيم,5,أثم,coupable.
وإثما,3,أثم,et en péché
إثمه,1,أثم,le péché de cela
وإثمهما,1,أثم,mais leur péché à tous deux
ءاثم,1,أثم,un pêcheur
أثيما,1,أثم,coupable.
لإثم,1,أثم,au péché
بإثمى,1,أثم,avec mon péché
وإثمك,1,أثم,et ton péché
الءاثمين,1,أثم,"les pécheurs."""
والإثم,1,أثم,ainsi que les pêchés
أثاما,1,أثم,"""Non traduit pour le moment"""
الأثيم,1,أثم,"""Non traduit pour le moment"""
تأثيم,1,أثم,"""Non traduit pour le moment"""
تأثيما,1,أثم,"""Non traduit pour le moment"""
ءاثما,1,أثم,un quelconque pécheur
أجاج,2,أجج,"""Non traduit pour le moment"""
أجاجا,1,أجج,"""Non traduit pour le moment"""
أجر,32,أجر,récompense (pour)
أجرا,22,أجر,un récompense
أجرهم,12,أجر,leur récompense
أجرى,9,أجر,ma récompense / ma rétribution
أجورهن,6,أجر,leur gage de marriage
وأجر,6,أجر,et une récompense
أجورهم,4,أجر,leurs récompenses.
أجره,3,أجر,sa récompense (est)
لأجرا,3,أجر,incntestablement une récompense
أجوركم,2,أجر,votre récompense
فأجره,2,أجر,"""Non traduit pour le moment"""
ولأجر,2,أجر,"""Non traduit pour le moment"""
وأجرا,2,أجر,"""Non traduit pour le moment"""
استءجره,1,أجر,"""Non traduit pour le moment"""
استءجرت,1,أجر,"""Non traduit pour le moment"""
تأجرنى,1,أجر,"""Non traduit pour le moment"""
أجرها,1,أجر,"""Non traduit pour le moment"""
أجل,23,أجل,un terme
أجلهم,6,أجل,"leur terme,"
أجلهن,5,أجل,"leur délai d'attente,"
وأجل,4,أجل,ainsi qu'un terme
لأجل,4,أجل,pour un terme
أجلا,3,أجل,"un terme,"
أجلها,3,أجل,son terme.
أجله,2,أجل,son échéance.
أجلت,2,أجل,tu avais prévu l'échéance
مؤجلا,1,أجل,prédéterminé.
أجلنا,1,أجل,notre terme
الأجلين,1,أجل,"""Non traduit pour le moment"""
الأجل,1,أجل,"""Non traduit pour le moment"""
أحد,30,أحد,quelqu'un
أحدا,20,أحد,personne d'autre
أحدهم,7,أحد,"quiconque d'entre eux,"
أحدكم,7,أحد,de l'un d'entre vous
إحدىهما,5,أحد,une des deux
أحدهما,4,أحد,l'un des deux
إحدى,4,أحد,d'un
لأحد,2,أحد,"envers quelqu'un,"
إحدىهن,1,أحد,l'une d'elles
أحدكما,1,أحد,"""Non traduit pour le moment"""
أحدنا,1,أحد,"""Non traduit pour le moment"""
لأحدهما,1,أحد,"""Non traduit pour le moment"""
كأحد,1,أحد,"""Non traduit pour le moment"""
لإحدى,1,أحد,l'un
اتخذوا,21,أخذ,ils ont pris
اتخذ,15,أخذ,"""S'est prit"
تتخذوا,13,أخذ,vous prendrez
أخذنا,12,أخذ,nous avons pris
أخذ,12,أخذ,a pris
يتخذ,11,أخذ,qui prend
فأخذتهم,10,أخذ,alors ils ont été saisis par
فأخذهم,9,أخذ,alors les saisit
واتخذوا,6,أخذ,et donc prends
خذوا,5,أخذ,"""Tenez fermement à"
يؤخذ,4,أخذ,Il sera pris
اتخذتم,4,أخذ,vous avez pris
يؤاخذكم,4,أخذ,vous saisit
واتخذ,4,أخذ,Et a pris
فأخذنهم,4,أخذ,alors nous les avons saisis
فخذ,3,أخذ,"""Alors prends"
يتخذوا,3,أخذ,ils prennent
وأخذنا,3,أخذ,nous avons pris
فيأخذكم,3,أخذ,le cas échéant vous seriez saisis d'
تتخذون,3,أخذ,vous extrayiez
أخذتهم,3,أخذ,les saisis
خذ,3,أخذ,Tiens toi à
اتخذت,3,أخذ,"""Non traduit pour le moment"""
فأخذنه,3,أخذ,alors nous l'avons saisi
أخذته,2,أخذ,Le saisit
تأخذوا,2,أخذ,vous repreniez
ويتخذ,2,أخذ,et qu'il prenne
فخذوهم,2,أخذ,alors saisissez-lez
وليأخذوا,2,أخذ,et qu'ils saisissent
فخذوه,2,أخذ,prenez-le.
أتخذ,2,أخذ,que je devrai prendre
أخذنهم,2,أخذ,nous les saisissons
يتخذوه,2,أخذ,le prennent
وأخذ,2,أخذ,et saisit
أخذت,2,أخذ,Ils possèdent 
نتخذه,2,أخذ,"""Non traduit pour le moment"""
يأخذهم,2,أخذ,"""Non traduit pour le moment"""
يؤاخذ,2,أخذ,"""Non traduit pour le moment"""
نتخذ,2,أخذ,"""Non traduit pour le moment"""
يتخذونك,2,أخذ,"""Non traduit pour le moment"""
خذوه,2,أخذ,Saisissez-le
باتخاذكم,1,أخذ,du fait que vous avez prit
فأخذتكم,1,أخذ,Alors vous a saisi
أتتخذنا,1,أخذ,"""Es-tu en train de nous prendre"
أتخذتم,1,أخذ,"""Avez-vous pris"
تأخذه,1,أخذ,le saisit
بءاخذيه,1,أخذ,le prendriez (pour vous)
تؤاخذنا,1,أخذ,nous blâme (pas)
وأخذتم,1,أخذ,et prenez-vous
أتأخذونه,1,أخذ,Prendriez-vous cela
تأخذونه,1,أخذ,le reprendriez-vous
وأخذن,1,أخذ,et qu'elles ont pris
متخذت,1,أخذ,celles qui prennent
وخذوا,1,أخذ,mais prennez
لأتخذن,1,أخذ,"""Je vais assurément saisir,"
يتخذون,1,أخذ,prennent
وأخذهم,1,أخذ,Et pour leur prise de
متخذى,1,أخذ,prenant
اتخذوها,1,أخذ,il prennent cela
اتخذوهم,1,أخذ,ils les aurient pris
اتخذونى,1,أخذ,prenez moi
أتتخذ,1,أخذ,"""Es-tu en train de prendre"
فخذها,1,أخذ,"""Saisis-les donc"
يأخذوا,1,أخذ,quils tiennent
اتخذوه,1,أخذ,Ils l'ont pris
يأخذون,1,أخذ,prenant
يأخذوه,1,أخذ,ils le prennent.
أخذتم,1,أخذ,"vous avez saisi,"
وخذوهم,1,أخذ,"""Non traduit pour le moment"""
ويأخذ,1,أخذ,"""Non traduit pour le moment"""
ءاخذ,1,أخذ,"""Non traduit pour le moment"""
واتخذتموه,1,أخذ,"""Non traduit pour le moment"""
وأخذت,1,أخذ,"""Non traduit pour le moment"""
أخذه,1,أخذ,"""Non traduit pour le moment"""
ليأخذ,1,أخذ,"""Non traduit pour le moment"""
نأخذ,1,أخذ,"""Non traduit pour le moment"""
أفاتخذتم,1,أخذ,"""Non traduit pour le moment"""
اتخذى,1,أخذ,"""Non traduit pour le moment"""
لاتخذوك,1,أخذ,"""Non traduit pour le moment"""
لنتخذن,1,أخذ,"""Non traduit pour le moment"""
أفتتخذونه,1,أخذ,"""Non traduit pour le moment"""
متخذ,1,أخذ,"""Non traduit pour le moment"""
يؤاخذهم,1,أخذ,"""Non traduit pour le moment"""
فاتخذ,1,أخذ,"""Non traduit pour le moment"""
تؤاخذنى,1,أخذ,"""Non traduit pour le moment"""
لتخذت,1,أخذ,"""Non traduit pour le moment"""
يأخذ,1,أخذ,"""Non traduit pour le moment"""
تتخذ,1,أخذ,"""Non traduit pour le moment"""
فاتخذت,1,أخذ,"""Non traduit pour le moment"""
خذها,1,أخذ,"""Non traduit pour le moment"""
يأخذه,1,أخذ,"""Non traduit pour le moment"""
تأخذ,1,أخذ,"""Non traduit pour le moment"""
لاتخذنه,1,أخذ,"""Non traduit pour le moment"""
أخذتها,1,أخذ,"""Non traduit pour le moment"""
فاتخذتموهم,1,أخذ,"""Non traduit pour le moment"""
تأخذكم,1,أخذ,"""Non traduit pour le moment"""
وتتخذون,1,أخذ,"""Non traduit pour le moment"""
ويتخذها,1,أخذ,"""Non traduit pour le moment"""
أخذوا,1,أخذ,"""Non traduit pour le moment"""
وأخذوا,1,أخذ,"""Non traduit pour le moment"""
فاتخذوه,1,أخذ,"""Non traduit pour le moment"""
ءأتخذ,1,أخذ,"""Devrais-je prendre,"
تأخذهم,1,أخذ,qui les saisira
وخذ,1,أخذ,"""Non traduit pour le moment"""
أتخذنهم,1,أخذ,"""Non traduit pour le moment"""
ليأخذوه,1,أخذ,"""Non traduit pour le moment"""
ليتخذ,1,أخذ,"""Non traduit pour le moment"""
وأخذنهم,1,أخذ,"""Non traduit pour le moment"""
اتخذها,1,أخذ,"""Non traduit pour le moment"""
لتأخذوها,1,أخذ,"""Non traduit pour le moment"""
يأخذونها,1,أخذ,"""Non traduit pour le moment"""
تأخذونها,1,أخذ,"""Non traduit pour le moment"""
ءاخذين,1,أخذ,"""Non traduit pour le moment"""
فيؤخذ,1,أخذ,et alors seront saisis
أخذة,1,أخذ,d'une étreinte
لأخذنا,1,أخذ,nous nous serions certainement saisi
فاتخذه,1,أخذ,prends-le donc
أخذا,1,أخذ,préhension
فأخذه,1,أخذ,Alors Il fut saisi par
الءاخرة,71,أخر,(de) l'au-delà
الءاخر,29,أخر,"Dernier"""
بالءاخرة,21,أخر,avec l'Au-delà.
والءاخرة,19,أخر,et l'au-delà.
أخرى,15,أخر,autre
الءاخرين,13,أخر,celles d'après / les suivantes / les dernières
ءاخر,10,أخر,autre
ءاخرين,8,أخر,d'autres
الأخرى,5,أخر,l'autre.
وأخر,4,أخر,et d'autres
وءاخرون,4,أخر,et d'autres
يستءخرون,4,أخر,La retarder 
وأخرى,3,أخر,et l'autre
وءاخرين,3,أخر,et d'autres
وءاخر,3,أخر,et la fin
يؤخرهم,3,أخر,"""Non traduit pour le moment"""
أخر,2,أخر,autres.
تأخر,2,أخر,reste plus longtemps
أخرنا,2,أخر,"""Non traduit pour le moment"""
ويؤخركم,2,أخر,Et il vous accordera un délai
وللءاخرة,2,أخر,Et certes la vie d'après
يؤخر,2,أخر,reporte le délai
وبالءاخرة,1,أخر,"Et au sujet de l’Au-delà,"
ءاخره,1,أخر,"(à) sa fin,"
أخرىكم,1,أخر,vos arrières
أخرتنا,1,أخر,tu nous laisserais un répit
بءاخرين,1,أخر,d'autres.
ءاخران,1,أخر,deux autres
فءاخران,1,أخر,alors deux autres
وءاخرنا,1,أخر,"et les derniers d'entre nous,"
يستأخرون,1,أخر,ils peuvent le retarder
أخرىهم,1,أخر,la dernière d'entre elles
لأخرىهم,1,أخر,leurs derniers d'entre eux
نؤخره,1,أخر,"""Non traduit pour le moment"""
المستءخرين,1,أخر,"""Non traduit pour le moment"""
أخرتن,1,أخر,"""Non traduit pour le moment"""
ءاخرون,1,أخر,"""Non traduit pour le moment"""
تستءخرون,1,أخر,"""Non traduit pour le moment"""
للءاخرين,1,أخر,"""Non traduit pour le moment"""
والءاخرين,1,أخر,"""Non traduit pour le moment"""
والءاخر,1,أخر,et l’Oméga ;
أخرتنى,1,أخر,laisse-tu un délai
يتأخر,1,أخر,reste en arrière.
وأخرت,1,أخر,et retardé.
للءاخرة,1,أخر,l'au-delà
أخيه,10,أخو,son frère
أخاهم,8,أخو,leur confrère
لإخونهم,4,أخو,à leurs frères / pour leurs frères
إخوة,4,أخو,des frères et sœurs
أخى,4,أخو,"mon frère."""
وأخيه,4,أخو,et son frère.
أخاه,4,أخو,"""Non traduit pour le moment"""
إخونهن,4,أخو, leurs frères
أخوهم,4,أخو,"""Non traduit pour le moment"""
فإخونكم,3,أخو,alors (ils sont) vos frères.
وأخاه,3,أخو,ainsi qu'à son frère
إخونا,2,أخو,des frères.
أخ,2,أخو,un frère
أخت,2,أخو,une soeur
وأخوتكم,2,أخو,"et vos sœurs,"
وأخى,2,أخو,et mon frère.
وإخونهم,2,أخو,et leurs fratries;
أختها,2,أخو,sa consoeur
وإخونكم,2,أخو,"""Non traduit pour le moment"""
أخانا,2,أخو,"""Non traduit pour le moment"""
أخوتهن,2,أخو,"""Non traduit pour le moment"""
الأخ,1,أخو,"du frère,"
الأخت,1,أخو,"la sœur,"
الأختين,1,أخو,les deux sœurs ;
لأخيه,1,أخو,à son frère
ولأخى,1,أخو,"et à mon frère,"
إخوتك,1,أخو,"""Non traduit pour le moment"""
وإخوته,1,أخو,"""Non traduit pour le moment"""
وأخوه,1,أخو,"""Non traduit pour le moment"""
بأخ,1,أخو,"""Non traduit pour le moment"""
أخوك,1,أخو,"""Non traduit pour le moment"""
إخوتى,1,أخو,"""Non traduit pour le moment"""
إخون,1,أخو,"""Non traduit pour le moment"""
يأخت,1,أخو,"""Non traduit pour le moment"""
أختك,1,أخو,"""Non traduit pour le moment"""
وأخوك,1,أخو,"""Non traduit pour le moment"""
إخونكم,1,أخو,"""Non traduit pour le moment"""
أخوتكم,1,أخو,"""Non traduit pour le moment"""
لأخته,1,أخو,"""Non traduit pour le moment"""
بأخيك,1,أخو,"""Non traduit pour le moment"""
أخا,1,أخو,"""Non traduit pour le moment"""
أخويكم,1,أخو,"""Non traduit pour le moment"""
وإخون,1,أخو,et les confrères de
إخونهم,1,أخو,"leurs fratries,"
ولإخوننا,1,أخو,et à nos frères
إدا,1,أدد,"""Non traduit pour le moment"""
إدريس,1,إدريس,"""Non traduit pour le moment"""
وإدريس,1,إدريس,"""Non traduit pour le moment"""
ءادم,15,آدَم,(à) Adam
لءادم,5,آدَم,"pour Adam""."
يءادم,4,آدَم,"""Oh! Adam,"
ويءادم,1,آدَم,"""Et Oh! Adam!"
يؤده,2,أدى,il la restituera
وأداء,1,أدى,et un paiement
فليؤد,1,أدى,alors qu'accomplisse
تؤدوا,1,أدى,vous rendiez
أدوا,1,أدى,"""Non traduit pour le moment"""
إذ,165,إذ,Lorsqu'
وإذ,72,إذ,Et lorsque
فإذ,2,إذ,Alors dès lors que
إذا,221,إذا,dès lors
وإذا,134,إذا,Et lorsqu'
فإذا,87,إذا,"Puis, lorsque"
أءذا,11,إذا,Comment? Alors que
أئذا,1,إذا,"""Non traduit pour le moment"""
بإذن,23,أذن,avec la permission de
أذن,10,أذن,il autorisera
بإذنه,9,أذن,par sa permission.
ءاذانهم,7,أذن,leurs oreilles
ءاذان,4,أذن,les oreilles
بإذنى,4,أذن,avec ma permission
يؤذن,4,أذن,il sera permis
ءاذن,3,أذن,je donne la permission
يأذن,3,أذن,"""Non traduit pour le moment"""
فبإذن,2,أذن,(était) donc avec la permission de
فأذن,2,أذن,alors annoncera
مؤذن,2,أذن,un annonceur
تأذن,2,أذن,fut déclaré par
وأذن,2,أذن,"""Non traduit pour le moment"""
